review_id,drug_raw,review_text,rating,created_at,drug
1,Advil,I took Advil and experienced tremor. It helped but had side effects.,4,2024-09-17 03:00:00,Ibuprofen
2,Acetaminophen,I took Acetaminophen and experienced palpitations. It helped but had side effects.,2,2025-04-14 12:00:00,Acetaminophen
3,Ibuprofen,I took Ibuprofen and experienced headache. It helped but had side effects.,5,2024-12-14 03:00:00,Ibuprofen
4,Advil,I took Advil and experienced stomach cramps. It helped but had side effects.,4,2024-08-15 17:00:00,Ibuprofen
5,Advil,I took Advil and experienced dizzy. It helped but had side effects.,5,2025-08-26 22:00:00,Ibuprofen
6,Metformin,I took Metformin and experienced brain fog and bloating. It helped but had side effects.,2,2024-11-17 01:00:00,Metformin
7,Tylenol,I took Tylenol and experienced hives. It helped but had side effects.,3,2024-09-14 01:00:00,Acetaminophen
8,Glucophage,I took Glucophage and experienced itching. It helped but had side effects.,1,2024-02-27 00:00:00,Metformin
9,Advil,I took Advil and experienced dizzy. It helped but had side effects.,2,2024-10-17 19:00:00,Ibuprofen
10,Advil,I took Advil and experienced anxiety. It helped but had side effects.,2,2025-01-28 00:00:00,Ibuprofen
11,Ibuprofen,I took Ibuprofen and experienced vomiting. It helped but had side effects.,2,2025-03-17 10:00:00,Ibuprofen
12,Acetaminophen,I took Acetaminophen and experienced palpitations. It helped but had side effects.,3,2025-03-24 05:00:00,Acetaminophen
13,Metformin,I took Metformin and experienced stomach cramps. It helped but had side effects.,3,2025-06-01 10:00:00,Metformin
14,Advil,I took Advil and experienced blood pressure and constipation and palpitations. It helped but had side effects.,1,2024-07-07 18:00:00,Ibuprofen
15,Ibuprofen,I took Ibuprofen and experienced irritable and stomach cramps and bloating. It helped but had side effects.,1,2025-02-24 01:00:00,Ibuprofen
16,Acetaminophen,I took Acetaminophen and experienced nausea. It helped but had side effects.,2,2024-07-22 13:00:00,Acetaminophen
17,Ibuprofen,I took Ibuprofen and experienced chest pain. It helped but had side effects.,1,2024-01-31 05:00:00,Ibuprofen
18,Ibuprofen,I took Ibuprofen and experienced headache and irritable. It helped but had side effects.,3,2024-12-11 00:00:00,Ibuprofen
19,Advil,I took Advil and experienced palpitations and stomach cramps and bloating. It helped but had side effects.,2,2024-02-12 04:00:00,Ibuprofen
20,Ibuprofen,I took Ibuprofen and experienced fatigue. It helped but had side effects.,1,2024-03-01 12:00:00,Ibuprofen
21,Acetaminophen,I took Acetaminophen and experienced fatigue. It helped but had side effects.,2,2025-09-06 15:00:00,Acetaminophen
22,Ibuprofen,I took Ibuprofen and experienced bloating and vomiting. It helped but had side effects.,5,2024-11-21 12:00:00,Ibuprofen
